round,accuracy,loss,shap_cosine,shap_topk,shap_mse,shap_spearman,epsilon_w,epsilon_s
0,95.97,0.1914291383266449,0.0,0.0,0.0,0.0,50.0,0.0
1,97.97,0.060399313124269244,0.0,0.0,0.0,0.0,50.0,0.0
2,98.47,0.04406573303961195,0.0,0.0,0.0,0.0,50.0,0.0
3,98.71,0.03625996020648163,0.0,0.0,0.0,0.0,50.0,0.0
4,98.79,0.03503160441076616,0.0,0.0,0.0,0.0,50.0,0.0
5,98.91,0.031164832343405578,0.0,0.0,0.0,0.0,50.0,0.0
6,99.0,0.02918545362225268,0.0,0.0,0.0,0.0,50.0,0.0
7,99.05,0.028240602570149348,0.0,0.0,0.0,0.0,50.0,0.0
8,99.06,0.027138290714443427,0.0,0.0,0.0,0.0,50.0,0.0
9,99.06,0.026573705230542692,0.0,0.0,0.0,0.0,50.0,0.0
10,99.07,0.02646694446236652,0.0,0.0,0.0,0.0,50.0,0.0
11,99.15,0.024900055852759395,0.0,0.0,0.0,0.0,50.0,0.0
12,99.12,0.02462188741027203,0.0,0.0,0.0,0.0,50.0,0.0
13,99.16,0.023867442366012254,0.0,0.0,0.0,0.0,50.0,0.0
14,99.13,0.02447860228478239,0.0,0.0,0.0,0.0,50.0,0.0
15,99.14,0.024410023892424214,0.0,0.0,0.0,0.0,50.0,0.0
16,99.15,0.02523594337510731,0.0,0.0,0.0,0.0,50.0,0.0
17,99.12,0.024587742058790173,0.0,0.0,0.0,0.0,50.0,0.0
18,99.19,0.02438450437415231,0.0,0.0,0.0,0.0,50.0,0.0
19,99.14,0.024438495303653326,0.0,0.0,0.0,0.0,50.0,0.0
20,99.21,0.024217977435285865,0.0,0.0,0.0,0.0,50.0,0.0
21,99.17,0.024036720170184708,0.0,0.0,0.0,0.0,50.0,0.0
22,99.22,0.023412934784691607,0.0,0.0,0.0,0.0,50.0,0.0
23,99.23,0.023511883208181098,0.0,0.0,0.0,0.0,50.0,0.0
24,99.23,0.0243581605945732,0.0,0.0,0.0,0.0,50.0,0.0
25,99.23,0.023681277780729214,0.0,0.0,0.0,0.0,50.0,0.0
26,99.23,0.023730148837156594,0.0,0.0,0.0,0.0,50.0,0.0
27,99.2,0.02481161155847785,0.0,0.0,0.0,0.0,50.0,0.0
28,99.25,0.024213576432277478,0.0,0.0,0.0,0.0,50.0,0.0
29,99.24,0.024079567392225363,0.0,0.0,0.0,0.0,50.0,0.0
30,99.22,0.023584660510292087,0.0,0.0,0.0,0.0,50.0,0.0
31,99.22,0.0242829791628993,0.0,0.0,0.0,0.0,50.0,0.0
32,99.2,0.02396578391879102,0.0,0.0,0.0,0.0,50.0,0.0
33,99.2,0.023458072344760147,0.0,0.0,0.0,0.0,50.0,0.0
34,99.21,0.02357526591998394,0.0,0.0,0.0,0.0,50.0,0.0
35,99.28,0.023614014806160957,0.0,0.0,0.0,0.0,50.0,0.0
36,99.25,0.023634449432330257,0.0,0.0,0.0,0.0,50.0,0.0
37,99.25,0.02346848721321676,0.0,0.0,0.0,0.0,50.0,0.0
38,99.24,0.024070999363377813,0.0,0.0,0.0,0.0,50.0,0.0
39,99.26,0.023888148278883546,0.0,0.0,0.0,0.0,50.0,0.0
40,99.27,0.023607667061331085,0.0,0.0,0.0,0.0,50.0,0.0
41,99.21,0.023930864655946606,0.0,0.0,0.0,0.0,50.0,0.0
42,99.29,0.023684245376926448,0.0,0.0,0.0,0.0,50.0,0.0
43,99.23,0.024225159816132782,0.0,0.0,0.0,0.0,50.0,0.0
44,99.22,0.024183873738393594,0.0,0.0,0.0,0.0,50.0,0.0
45,99.27,0.022415416209398246,0.0,0.0,0.0,0.0,50.0,0.0
46,99.25,0.023163303525903848,0.0,0.0,0.0,0.0,50.0,0.0
47,99.24,0.023896842452675447,0.0,0.0,0.0,0.0,50.0,0.0
48,99.27,0.02334062616559686,0.0,0.0,0.0,0.0,50.0,0.0
49,99.26,0.02268465631701929,0.0,0.0,0.0,0.0,50.0,0.0
