round,accuracy,loss,shap_cosine,shap_topk,shap_mse,shap_spearman,epsilon_w,epsilon_s
0,94.92,0.22934211587905884,0.12243565917015076,0.06,0.0391281396150589,0.09316283948237761,25.0,25.0
1,97.72,0.06683042577821761,0.12437806278467178,0.1,0.03735599294304848,0.10101281306138386,25.0,25.0
2,98.5,0.046782306440081446,0.1613985002040863,0.1,0.040590573102235794,0.09721867369101532,25.0,25.0
3,98.64,0.04244178015217185,0.17165517807006836,0.08,0.039406877011060715,0.1253602942018743,25.0,25.0
4,98.72,0.03710884489848977,0.11075333505868912,0.04,0.04326675459742546,0.0623021475959884,25.0,25.0
5,98.87,0.03186445334699238,0.14964692294597626,0.06,0.037735603749752045,0.09592927441128,25.0,25.0
6,98.94,0.03138965398835135,0.12201375514268875,0.2,0.0358903706073761,0.08016129506198848,25.0,25.0
7,98.94,0.030227556580468082,0.17025582492351532,0.12,0.037626102566719055,0.09401605579635765,25.0,25.0
8,99.02,0.027786876391948316,0.12181974202394485,0.08,0.04212897643446922,0.1094255712388184,25.0,25.0
9,98.99,0.03007103136119549,0.07192221283912659,0.1,0.04384675249457359,0.025012612849517873,25.0,25.0
10,99.1,0.0274271177182658,0.17516013979911804,0.02,0.0395379513502121,0.1218433386972184,25.0,25.0
11,99.18,0.026299818527142634,0.23840291798114777,0.18,0.0353117510676384,0.15143562366743316,25.0,25.0
12,99.14,0.02568723539972998,0.09881507605314255,0.04,0.03983210027217865,0.03514422973962995,25.0,25.0
13,99.18,0.025749533470310417,0.157639741897583,0.12,0.04391229525208473,0.08079998087528444,25.0,25.0
14,99.13,0.025166198823940795,0.09737984836101532,0.04,0.036858540028333664,0.10723920287787127,25.0,25.0
15,99.17,0.02557117284507767,0.15779908001422882,0.04,0.039778195321559906,0.16180009891063826,25.0,25.0
16,99.16,0.025074427223412205,0.1816219687461853,0.02,0.03935787081718445,0.1432328887335006,25.0,25.0
17,99.15,0.025301587036769706,0.15558616816997528,0.08,0.039842575788497925,0.10335641248226358,25.0,25.0
18,99.14,0.025068167262148198,0.16533952951431274,0.08,0.03836853429675102,0.13761799177537623,25.0,25.0
19,99.17,0.025064898771992375,0.18151256442070007,0.06,0.037604834884405136,0.11905718140539766,25.0,25.0
20,99.15,0.02456412567075022,0.10475413501262665,0.08,0.041514940559864044,0.08102125981075495,25.0,25.0
21,99.14,0.025028414824048197,0.1689247190952301,0.02,0.0400344617664814,0.11838599851683845,25.0,25.0
22,99.18,0.025063629727645823,0.06679465621709824,0.06,0.0423385351896286,0.06475499197409398,25.0,25.0
23,99.14,0.025196747675846565,0.08106809109449387,0.12,0.03949372097849846,0.07255212356558409,25.0,25.0
24,99.22,0.024153865509872776,0.1211346760392189,0.02,0.041849229484796524,0.1035621027823971,25.0,25.0
25,99.17,0.02397679979636814,0.1335870623588562,0.12,0.040347643196582794,0.13597172231510657,25.0,25.0
26,99.23,0.024085566490493874,0.1698809713125229,0.08,0.037655897438526154,0.08330648900602777,25.0,25.0
27,99.19,0.02521004972357041,0.13740277290344238,0.16,0.04441780596971512,0.11383558621486518,25.0,25.0
28,99.21,0.02465371846709968,0.13029441237449646,0.12,0.03952273726463318,0.07429020660171236,25.0,25.0
29,99.22,0.02424799552830591,0.22593903541564941,0.18,0.03790709748864174,0.12134176314936254,25.0,25.0
30,99.26,0.0237724519729185,0.21206700801849365,0.12,0.036357104778289795,0.10738570118727628,25.0,25.0
31,99.19,0.024490591587203018,0.08880509436130524,0.08,0.041736774146556854,0.08012262229732657,25.0,25.0
32,99.21,0.024726409494290873,0.17397518455982208,0.08,0.03823520243167877,0.13741566324164925,25.0,25.0
33,99.24,0.023848678063433364,0.12667210400104523,0.04,0.037064213305711746,0.09760836467246684,25.0,25.0
34,99.21,0.024298487933995874,0.17524778842926025,0.08,0.03912168741226196,0.10575432310708896,25.0,25.0
35,99.2,0.02546938194484155,0.15325169265270233,0.1,0.043051447719335556,0.10266555703473278,25.0,25.0
36,99.22,0.024346780645053558,0.13400614261627197,0.06,0.037085339426994324,0.12742292465708738,25.0,25.0
37,99.24,0.0244910010104727,0.1480090171098709,0.06,0.036883704364299774,0.10561121146606385,25.0,25.0
38,99.23,0.024864078272333973,0.22084680199623108,0.02,0.036233384162187576,0.14921670842727602,25.0,25.0
39,99.25,0.02459778637278432,0.1587013453245163,0.14,0.036382947117090225,0.11996259225558588,25.0,25.0
40,99.26,0.023680249066160924,0.14787045121192932,0.04,0.040739160031080246,0.09765196802785833,25.0,25.0
41,99.22,0.024290468602034706,0.12092895060777664,0.04,0.03972069174051285,0.11332459772107101,25.0,25.0
42,99.26,0.0241245650502462,0.18150556087493896,0.06,0.0366939976811409,0.18608305903809655,25.0,25.0
43,99.25,0.02373169012282742,0.16069939732551575,0.08,0.040955763310194016,0.13237535441733617,25.0,25.0
44,99.2,0.024752454414182286,0.11236614733934402,0.04,0.041666679084300995,0.09635121344826092,25.0,25.0
45,99.21,0.0246386896949542,0.10253831744194031,0.04,0.04114919900894165,0.07188263401121485,25.0,25.0
46,99.25,0.02471048447881217,0.18649506568908691,0.04,0.03981383144855499,0.1132908555471387,25.0,25.0
47,99.21,0.024327864864483125,0.1371743083000183,0.1,0.03994932770729065,0.06603903732955221,25.0,25.0
48,99.2,0.024026843426349115,0.15539029240608215,0.14,0.037857264280319214,0.10955804973720948,25.0,25.0
49,99.19,0.024256572366077672,0.15175658464431763,0.12,0.03886403515934944,0.07505678895029716,25.0,25.0
