round,accuracy,loss,shap_cosine,shap_topk,shap_mse,shap_spearman,epsilon_w,epsilon_s
0,95.48,0.23218068273067474,0.9371275901794434,0.64,0.002789747668430209,0.9543683788765526,50.0,0.0
1,98.09,0.05782029474396259,0.9617885947227478,0.68,0.0011786745162680745,0.9656615732170312,50.0,0.0
2,98.51,0.04270695788129233,0.9669567346572876,0.72,0.0007781868916936219,0.968608771570712,50.0,0.0
3,98.77,0.03526582113564946,0.9684596657752991,0.68,0.0005859508528374135,0.9698475202365887,50.0,0.0
4,98.84,0.03146809454651084,0.9712538123130798,0.7,0.00044943575630895793,0.9710227439683685,50.0,0.0
5,98.97,0.030069634359667544,0.9712416529655457,0.68,0.00036722919321618974,0.9710021500363818,50.0,0.0
6,98.97,0.029917749773946706,0.9712767004966736,0.68,0.0003316288348287344,0.9695304683114918,50.0,0.0
7,99.07,0.026769110871685552,0.9724523425102234,0.7,0.0002818182692863047,0.9700593613241476,50.0,0.0
8,99.07,0.026679860326409108,0.9725574254989624,0.7,0.000262614426901564,0.9707178193043086,50.0,0.0
9,99.07,0.025802019154863957,0.974036693572998,0.72,0.0002419803204247728,0.97223133634448,50.0,0.0
10,99.09,0.024693122351140483,0.9733513593673706,0.7,0.0002464573481120169,0.9718702577304442,50.0,0.0
11,99.08,0.024999109960443456,0.9736607074737549,0.7,0.0002450652827974409,0.9721526959125404,50.0,0.0
12,99.09,0.02583640594592798,0.9733543395996094,0.7,0.00025489318068139255,0.9722739685229096,50.0,0.0
13,99.12,0.02472410731150594,0.9734153151512146,0.7,0.0002569808275438845,0.9720938276474658,50.0,0.0
14,99.1,0.024469187444294948,0.9730137586593628,0.72,0.00027177331503480673,0.972579441030384,50.0,0.0
15,99.14,0.024237755268220643,0.9731406569480896,0.68,0.0002894156496040523,0.9725327996342399,50.0,0.0
16,99.15,0.023738467885791033,0.9743412733078003,0.7,0.0003027783241122961,0.9732984606098096,50.0,0.0
17,99.12,0.024645912119014974,0.97471022605896,0.7,0.00031228820444084704,0.9731682730929695,50.0,0.0
18,99.13,0.023894867545343004,0.9739259481430054,0.7,0.00032306305365636945,0.972853063913903,50.0,0.0
19,99.18,0.023280381897080586,0.973905086517334,0.72,0.00034267071168869734,0.9731714854475358,50.0,0.0
20,99.21,0.023472146688993233,0.9734429121017456,0.7,0.00036557804560288787,0.9726542963623696,50.0,0.0
21,99.17,0.02401190008230351,0.9737491607666016,0.72,0.0003911175881512463,0.9725931122137704,50.0,0.0
22,99.2,0.02328044211764445,0.9737658500671387,0.7,0.0003856274124700576,0.9729370333681463,50.0,0.0
23,99.18,0.023962077003147716,0.9732529520988464,0.68,0.00040451562381349504,0.9722869175490682,50.0,0.0
24,99.22,0.023559224422300212,0.9730920195579529,0.7,0.0004545909760054201,0.9720699715569661,50.0,0.0
25,99.19,0.023745725374066388,0.9734178781509399,0.72,0.000455897708889097,0.9718433386972185,50.0,0.0
26,99.27,0.023030885232492436,0.9722160696983337,0.68,0.0004371815884951502,0.9711783314980579,50.0,0.0
27,99.21,0.024024168318223384,0.973421573638916,0.74,0.0005003265105187893,0.9719926260276421,50.0,0.0
28,99.25,0.02340093886929062,0.9736575484275818,0.72,0.00048357885680161417,0.9717157160836367,50.0,0.0
29,99.27,0.0232109523542058,0.9719001054763794,0.72,0.0005007772124372423,0.9708495507434983,50.0,0.0
30,99.22,0.0243920006445107,0.9728304147720337,0.74,0.0005206221248954535,0.9715855534687701,50.0,0.0
31,99.2,0.02497387962463763,0.9733296632766724,0.72,0.0005751813878305256,0.9717977431839564,50.0,0.0
32,99.26,0.02390823226541761,0.972447395324707,0.72,0.0005483771674335003,0.9711593312923676,50.0,0.0
33,99.25,0.0240634703417516,0.9715739488601685,0.72,0.0005655880668200552,0.9708377970120621,50.0,0.0
34,99.27,0.023638499162282278,0.9718652367591858,0.72,0.0005876037757843733,0.971143767559004,50.0,0.0
35,99.22,0.02426672488748045,0.9727658033370972,0.78,0.0006116708973422647,0.9714279488792369,50.0,0.0
36,99.25,0.024260186511675785,0.972088098526001,0.72,0.0006166473031044006,0.9713873586626245,50.0,0.0
37,99.24,0.02359365596158568,0.9719637036323547,0.74,0.0006425753235816956,0.9713360605974581,50.0,0.0
38,99.25,0.02357992068767744,0.9717262983322144,0.74,0.0006055450066924095,0.9712299781908518,50.0,0.0
39,99.23,0.02379096380015217,0.971721351146698,0.74,0.0006572489510290325,0.9715559699243927,50.0,0.0
40,99.22,0.02436119240559019,0.9722079038619995,0.72,0.000661229423712939,0.971062039282365,50.0,0.0
41,99.24,0.02407972624999502,0.9718245267868042,0.74,0.0007036117021925747,0.9708573948651136,50.0,0.0
42,99.26,0.023433669191117407,0.9712077379226685,0.76,0.0007208807510323822,0.9704476577950897,50.0,0.0
43,99.28,0.023555573821485997,0.9715072512626648,0.74,0.0006864996394142509,0.9708499740770458,50.0,0.0
44,99.23,0.024411075797033208,0.9709498286247253,0.74,0.0007025656523182988,0.9705541386332701,50.0,0.0
45,99.23,0.024008863708925764,0.971573531627655,0.74,0.0007127354620024562,0.9710832308617128,50.0,0.0
46,99.21,0.02445749624761347,0.970941424369812,0.72,0.0007053666631691158,0.9710068814113243,50.0,0.0
47,99.3,0.023721797328792853,0.9709771871566772,0.74,0.0007596323266625404,0.9709190770531803,50.0,0.0
48,99.28,0.02440226931455927,0.9703884124755859,0.72,0.0007325410842895508,0.9710465751568949,50.0,0.0
49,99.21,0.02325860027850085,0.9697960019111633,0.72,0.0007400441099889576,0.9707665026622699,50.0,0.0
