round,accuracy,loss,shap_cosine,shap_topk,shap_mse,shap_spearman,epsilon_w,epsilon_s
0,94.73,0.21375607879161834,0.0,0.0,0.0,0.0,50.0,0.0
1,98.11,0.05754493413940072,0.0,0.0,0.0,0.0,50.0,0.0
2,98.5,0.04392129596760497,0.0,0.0,0.0,0.0,50.0,0.0
3,98.69,0.0381167020436842,0.0,0.0,0.0,0.0,50.0,0.0
4,98.91,0.03285147466138005,0.0,0.0,0.0,0.0,50.0,0.0
5,98.99,0.030763196484209037,0.0,0.0,0.0,0.0,50.0,0.0
6,99.01,0.030965941620821832,0.0,0.0,0.0,0.0,50.0,0.0
7,99.04,0.02865815572622814,0.0,0.0,0.0,0.0,50.0,0.0
8,99.09,0.02738752586625342,0.0,0.0,0.0,0.0,50.0,0.0
9,99.12,0.026460886284385924,0.0,0.0,0.0,0.0,50.0,0.0
10,99.12,0.025884271638514474,0.0,0.0,0.0,0.0,50.0,0.0
11,99.16,0.02594064735720458,0.0,0.0,0.0,0.0,50.0,0.0
12,99.17,0.025218654835219786,0.0,0.0,0.0,0.0,50.0,0.0
13,99.12,0.024901698242963174,0.0,0.0,0.0,0.0,50.0,0.0
14,99.18,0.02469294913577469,0.0,0.0,0.0,0.0,50.0,0.0
15,99.2,0.024297922419407404,0.0,0.0,0.0,0.0,50.0,0.0
16,99.22,0.02399278620432742,0.0,0.0,0.0,0.0,50.0,0.0
17,99.22,0.0237957893886487,0.0,0.0,0.0,0.0,50.0,0.0
18,99.23,0.023792646766948748,0.0,0.0,0.0,0.0,50.0,0.0
19,99.26,0.023838542318713008,0.0,0.0,0.0,0.0,50.0,0.0
20,99.24,0.02411392380064135,0.0,0.0,0.0,0.0,50.0,0.0
21,99.25,0.023872808306867957,0.0,0.0,0.0,0.0,50.0,0.0
22,99.27,0.02304035226317428,0.0,0.0,0.0,0.0,50.0,0.0
23,99.27,0.023721555695362623,0.0,0.0,0.0,0.0,50.0,0.0
24,99.27,0.02434426689427055,0.0,0.0,0.0,0.0,50.0,0.0
25,99.26,0.02349598453781946,0.0,0.0,0.0,0.0,50.0,0.0
26,99.31,0.023008494158569374,0.0,0.0,0.0,0.0,50.0,0.0
27,99.3,0.02331351381282293,0.0,0.0,0.0,0.0,50.0,0.0
28,99.32,0.023575918149032076,0.0,0.0,0.0,0.0,50.0,0.0
29,99.31,0.02371025509534811,0.0,0.0,0.0,0.0,50.0,0.0
30,99.32,0.02348098150768492,0.0,0.0,0.0,0.0,50.0,0.0
31,99.27,0.024168115470225893,0.0,0.0,0.0,0.0,50.0,0.0
32,99.33,0.023099547260439432,0.0,0.0,0.0,0.0,50.0,0.0
33,99.32,0.023153079599329066,0.0,0.0,0.0,0.0,50.0,0.0
34,99.31,0.02362754914510806,0.0,0.0,0.0,0.0,50.0,0.0
35,99.31,0.023793990531782765,0.0,0.0,0.0,0.0,50.0,0.0
36,99.3,0.022907946394768078,0.0,0.0,0.0,0.0,50.0,0.0
37,99.33,0.022882177464327833,0.0,0.0,0.0,0.0,50.0,0.0
38,99.33,0.022926263438813474,0.0,0.0,0.0,0.0,50.0,0.0
39,99.3,0.023156747815650306,0.0,0.0,0.0,0.0,50.0,0.0
40,99.3,0.022990001125070558,0.0,0.0,0.0,0.0,50.0,0.0
41,99.3,0.022531984568667396,0.0,0.0,0.0,0.0,50.0,0.0
42,99.3,0.023450477379071525,0.0,0.0,0.0,0.0,50.0,0.0
43,99.32,0.023566291270223156,0.0,0.0,0.0,0.0,50.0,0.0
44,99.32,0.0233105797320095,0.0,0.0,0.0,0.0,50.0,0.0
45,99.32,0.02292564857781399,0.0,0.0,0.0,0.0,50.0,0.0
46,99.3,0.023173084069925243,0.0,0.0,0.0,0.0,50.0,0.0
47,99.33,0.022590079144183983,0.0,0.0,0.0,0.0,50.0,0.0
48,99.3,0.02298216272163845,0.0,0.0,0.0,0.0,50.0,0.0
49,99.34,0.02257693271539465,0.0,0.0,0.0,0.0,50.0,0.0
