round,accuracy,loss,shap_cosine,shap_topk,shap_mse,shap_spearman,epsilon_w,epsilon_s
0,96.92,0.16147318696975707,0.09582947939634323,0.14,0.04130013287067413,0.07863619860419459,25.0,25.0
1,98.07,0.05863110968209803,0.1030205711722374,0.06,0.04353680834174156,0.10500674096419445,25.0,25.0
2,98.4,0.04772764457617886,0.17499785125255585,0.04,0.03807598352432251,0.12151737186565086,25.0,25.0
3,98.66,0.03842132693231106,0.12048030644655228,0.02,0.03726984187960625,0.08110097102755005,25.0,25.0
4,98.75,0.033960677711758765,0.12369152903556824,0.08,0.039435382932424545,0.09194966514316394,25.0,25.0
5,98.85,0.0313251655254513,0.158383309841156,0.08,0.03818520903587341,0.15762251895413704,25.0,25.0
6,99.0,0.02869583831571508,0.16679157316684723,0.14,0.036848340183496475,0.09332126583703254,25.0,25.0
7,99.01,0.02841118873588275,0.20466233789920807,0.08,0.03929222747683525,0.1677049793487935,25.0,25.0
8,99.02,0.026767829350288957,0.1655982881784439,0.06,0.03755439072847366,0.1333163003835402,25.0,25.0
9,99.11,0.027503389265510485,0.1968671977519989,0.08,0.038783349096775055,0.1771586649155599,25.0,25.0
10,99.1,0.026715337119507604,0.17604094743728638,0.08,0.03697504475712776,0.13503921811787897,25.0,25.0
11,99.09,0.02679276198614971,0.17964880168437958,0.14,0.0365818552672863,0.128818530853296,25.0,25.0
12,99.15,0.02510113618254545,0.2113916277885437,0.08,0.03901363164186478,0.08424046241968491,25.0,25.0
13,99.22,0.024797748313134072,0.08474864065647125,0.08,0.0412357933819294,0.11968613054710135,25.0,25.0
14,99.18,0.02500009535480931,0.1292303502559662,0.12,0.03998865187168121,0.10326310478800203,25.0,25.0
15,99.13,0.02650814444120042,0.18383249640464783,0.12,0.03863464668393135,0.10488290345056685,25.0,25.0
16,99.15,0.02566911031023483,0.15397274494171143,0.06,0.039151631295681,0.11938852706321565,25.0,25.0
17,99.16,0.024927460467632046,0.1915830373764038,0.06,0.03974384814500809,0.13660687204818234,25.0,25.0
18,99.17,0.024324885256544804,0.11510854959487915,0.08,0.04160062596201897,0.07259415809665253,25.0,25.0
19,99.19,0.025229547960335913,0.13979892432689667,0.06,0.041871264576911926,0.06321301197834724,25.0,25.0
20,99.22,0.024669923520508747,0.18653857707977295,0.14,0.03827088326215744,0.10327241812604683,25.0,25.0
21,99.22,0.025185665995611634,0.09982051700353622,0.1,0.042124874889850616,0.10150465193764746,25.0,25.0
22,99.21,0.02540712947452812,0.1969083845615387,0.24,0.03692353889346123,0.2021307622543856,25.0,25.0
23,99.18,0.025300356312227087,0.16407203674316406,0.02,0.03875910863280296,0.11277657999285812,25.0,25.0
24,99.19,0.024936915571304417,0.1473878026008606,0.04,0.04152394458651543,0.09671353716096585,25.0,25.0
25,99.17,0.02486092032541419,0.16148972511291504,0.06,0.04021433740854263,0.13861845345796275,25.0,25.0
26,99.23,0.02515076153272239,0.08548997342586517,0.04,0.04049253091216087,0.06255791576459269,25.0,25.0
27,99.25,0.024873735406151537,0.16338013112545013,0.08,0.039711542427539825,0.08185395689866838,25.0,25.0
28,99.19,0.023514206262642983,0.19035932421684265,0.06,0.04066135361790657,0.11293316360148277,25.0,25.0
29,99.22,0.02490052437043996,0.19329549372196198,0.04,0.0408613383769989,0.18972524656688944,25.0,25.0
30,99.19,0.02500003594044356,0.16605731844902039,0.04,0.0384775772690773,0.11699731506922997,25.0,25.0
31,99.2,0.024479485073447722,0.1795749068260193,0.1,0.036589931696653366,0.14488388956871276,25.0,25.0
32,99.24,0.02515320691122979,0.12216147035360336,0.1,0.04031536728143692,0.044925052530712856,25.0,25.0
33,99.21,0.025160039411454636,0.17473261058330536,0.08,0.03936086967587471,0.055884411016035376,25.0,25.0
34,99.18,0.024275947046612418,0.1436735987663269,0.04,0.037059180438518524,0.1387584523523151,25.0,25.0
35,99.26,0.023854200121986288,0.11579892039299011,0.02,0.04402807727456093,0.08812860673956968,25.0,25.0
36,99.26,0.024011396304956724,0.16708923876285553,0.14,0.03754812479019165,0.0874389714887346,25.0,25.0
37,99.22,0.02381467982310569,0.15512734651565552,0.08,0.04276791960000992,0.09155815631765554,25.0,25.0
38,99.2,0.023955043587665387,0.16159391403198242,0.12,0.039175473153591156,0.12872425198207257,25.0,25.0
39,99.27,0.023091314301378042,0.1263784021139145,0.04,0.03765331581234932,0.057595774234725006,25.0,25.0
40,99.28,0.023540482387665908,0.16997307538986206,0.1,0.04069827124476433,0.14847702020994355,25.0,25.0
41,99.22,0.02361825600899465,0.18687409162521362,0.06,0.03972066566348076,0.12084753368365429,25.0,25.0
42,99.26,0.023715814773912644,0.163996160030365,0.06,0.040252476930618286,0.1274729029176646,25.0,25.0
43,99.28,0.023717075241204748,0.15449735522270203,0.04,0.035617902874946594,0.09504405906150439,25.0,25.0
44,99.26,0.024490124695192208,0.2004433125257492,0.18,0.03857265040278435,0.14828151481692317,25.0,25.0
45,99.29,0.023890857438063903,0.15474431216716766,0.04,0.0403505302965641,0.07187782793035216,25.0,25.0
46,99.23,0.024414176344942643,0.1336040049791336,0.08,0.04100501909852028,0.08286211329102987,25.0,25.0
47,99.26,0.02386484717359672,0.1913147270679474,0.08,0.038308221846818924,0.12164165761479934,25.0,25.0
48,99.22,0.02485570908009031,0.11557132750749588,0.14,0.040916264057159424,0.10567585698896295,25.0,25.0
49,99.23,0.023305906405505266,0.12398303300142288,0.12,0.03684630244970322,0.12711580861936986,25.0,25.0
