round,accuracy,loss,shap_cosine,shap_topk,shap_mse,shap_spearman,epsilon_w,epsilon_s
0,96.44,0.18173411012887955,-0.030695417895913124,0.08,90.05853271484375,-0.018849548751340352,49.504950495049506,0.49504950495049505
1,97.8,0.06403570805434138,0.005558023229241371,0.12,6.039467811584473,0.010815823510749934,48.03947195761616,1.9605280423838412
2,98.4,0.046592398756637704,0.06725168973207474,0.06,1.6446752548217773,0.022456574693718177,46.15581731933179,3.8441826806682124
3,98.72,0.038257061001937834,0.021512098610401154,0.08,0.6926742196083069,0.025802901876762124,44.346021835857876,5.653978164142126
4,98.87,0.034334204474673606,0.03112574853003025,0.0,0.41625863313674927,0.0015278356748658903,42.607189448310564,7.392810551689433
5,98.93,0.03066793021573685,0.028168639168143272,0.08,0.29388290643692017,-0.0013686124570627723,40.936537653899094,9.06346234610091
6,98.92,0.030692074121849145,0.049473222345113754,0.04,0.20797106623649597,0.02387628600016037,39.33139305332767,10.668606946672327
7,98.95,0.029012751973164268,0.08034370839595795,0.06,0.16468125581741333,0.06155957074974363,37.78918707278628,12.210812927213727
8,98.97,0.028073909655807073,0.12189990282058716,0.12,0.13211196660995483,0.09471938713255271,36.30745185368455,13.692548146315453
9,99.11,0.027329434097063496,0.05157206952571869,0.0,0.10766429454088211,0.04413336899295922,34.883816303551555,15.116183696448449
10,99.07,0.026245199512454565,0.11760622262954712,0.08,0.09122439473867416,0.050519978106185005,33.51600230178197,16.483997698218033
11,99.13,0.02561875852945377,0.1032625362277031,0.06,0.0727277547121048,0.08685118530903099,32.20182105415707,17.79817894584293
12,99.07,0.025471190713578836,0.1661919802427292,0.06,0.0633469969034195,0.11347433328701566,30.939169590307042,19.060830409692958
13,99.11,0.025689555027795723,0.11352913081645966,0.06,0.06198856607079506,0.1014993976212639,29.726027398509718,20.273972601490282
14,99.15,0.025962057608333998,0.07472821325063705,0.08,0.05457540974020958,0.037042681484336905,28.560453192440743,21.439546807559257
15,99.15,0.02520912146625342,0.10485558956861496,0.1,0.05107564479112625,0.07321466546937978,27.440581804701324,22.559418195298676
16,99.15,0.02588417987401044,0.12891146540641785,0.04,0.04709481820464134,0.0902068756340665,26.364621202152428,23.635378797847572
17,99.18,0.025062293991577462,0.1707715094089508,0.1,0.03966376185417175,0.12975148328604447,25.330849618279476,24.669150381720524
18,99.14,0.02395554852253117,0.06777290999889374,0.1,0.03977390378713608,0.07707115938109632,24.337612797998585,25.662387202001412
19,99.2,0.024259537181744235,0.15183648467063904,0.04,0.03323376923799515,0.08631370111555861,23.38332135049546,26.61667864950454
20,99.19,0.024431945422670104,0.17670732736587524,0.1,0.036493152379989624,0.11418374070471587,22.466448205861077,27.533551794138923
21,99.2,0.024871414252936666,0.16117314994335175,0.08,0.03190915286540985,0.1403934412186428,21.585526171453985,28.414473828546015
22,99.2,0.024614912251979693,0.17762868106365204,0.08,0.030018633231520653,0.10980823986377625,20.73914558407907,29.260854415920935
23,99.22,0.025538304529136805,0.19254401326179504,0.06,0.026913898065686226,0.12256629278843831,19.925952054225707,30.074047945774296
24,99.26,0.024397239280011855,0.2443391978740692,0.06,0.0251026414334774,0.17652864498900078,19.144644298755605,30.855355701244395
25,99.15,0.026976378918353295,0.2041061967611313,0.12,0.0246238075196743,0.1465319768730393,18.393972058572118,31.606027941427882
26,99.19,0.025162974582091557,0.1250268667936325,0.08,0.024301033467054367,0.11065806950937634,17.672734097939006,32.327265902060994
27,99.23,0.02465342882110999,0.18334835767745972,0.12,0.023199090734124184,0.09959280293126108,16.979776282246956,33.02022371775305
28,99.21,0.024258123740486918,0.16370436549186707,0.08,0.02365667000412941,0.08757969254031506,16.313989731151974,33.68601026884803
29,99.17,0.02519761361156561,0.23306623101234436,0.12,0.021436255425214767,0.1349750706344475,15.674309044130265,34.32569095586973
30,99.19,0.023981456144849655,0.2642365097999573,0.12,0.018932417035102844,0.17646609123186577,15.05971059561011,34.940289404389894
31,99.19,0.02575120388987998,0.2119818776845932,0.08,0.021341761574149132,0.16156161271156097,14.46921089695253,35.53078910304747
32,99.23,0.02517859457365412,0.16861850023269653,0.02,0.02034030668437481,0.13207406544138997,13.901865022659706,36.098134977340294
33,99.21,0.02592387928961398,0.2613651156425476,0.16,0.017290974035859108,0.19529599232620787,13.356765098292517,36.64323490170748
34,99.17,0.02520644621706597,0.22448411583900452,0.1,0.016987310722470284,0.14768304569063878,12.833038847677795,37.16696115232221
35,99.22,0.024661159296840197,0.19697843492031097,0.02,0.01925833337008953,0.1662382282146331,12.329848197080324,37.670151802919676
36,99.27,0.023780421943755937,0.23343013226985931,0.02,0.018595008179545403,0.17999370478112908,11.846387934106088,38.15361206589391
