round,accuracy,loss,shap_cosine,shap_topk,shap_mse,shap_spearman,epsilon_w,epsilon_s
0,87.81,0.5326040449142456,0.0,0.0,0.0,0.0,8.0,0.0
1,95.47,0.16351349099874496,0.0,0.0,0.0,0.0,8.0,0.0
2,96.73,0.1092853265017271,0.0,0.0,0.0,0.0,8.0,0.0
3,97.41,0.08533160695135593,0.0,0.0,0.0,0.0,8.0,0.0
4,97.68,0.07472057651728392,0.0,0.0,0.0,0.0,8.0,0.0
5,97.82,0.06639078880921007,0.0,0.0,0.0,0.0,8.0,0.0
6,97.92,0.06236149562746286,0.0,0.0,0.0,0.0,8.0,0.0
7,98.14,0.05651704025119543,0.0,0.0,0.0,0.0,8.0,0.0
8,98.33,0.0524747938554734,0.0,0.0,0.0,0.0,8.0,0.0
9,98.5,0.04598775225654245,0.0,0.0,0.0,0.0,8.0,0.0
10,98.45,0.04717617867328226,0.0,0.0,0.0,0.0,8.0,0.0
11,98.42,0.04809500776156783,0.0,0.0,0.0,0.0,8.0,0.0
12,98.47,0.045583800956234335,0.0,0.0,0.0,0.0,8.0,0.0
13,98.59,0.041042018550261856,0.0,0.0,0.0,0.0,8.0,0.0
14,98.7,0.04089256532639265,0.0,0.0,0.0,0.0,8.0,0.0
15,98.6,0.0422094593193382,0.0,0.0,0.0,0.0,8.0,0.0
16,98.68,0.04049519277885556,0.0,0.0,0.0,0.0,8.0,0.0
17,98.69,0.037447818660363556,0.0,0.0,0.0,0.0,8.0,0.0
18,98.79,0.03708803309379145,0.0,0.0,0.0,0.0,8.0,0.0
19,98.71,0.03708724218867719,0.0,0.0,0.0,0.0,8.0,0.0
