round,accuracy,loss,shap_cosine,shap_topk,shap_mse,shap_spearman,epsilon_w,epsilon_s
0,95.56,0.217272470331192,-0.0029269587248563766,0.08,93.44952392578125,-0.015379931898083194,49.504950495049506,0.49504950495049505
1,97.95,0.06228726909281686,0.04446960613131523,0.06,5.592214107513428,0.039402790913568735,48.03947195761616,1.9605280423838412
2,98.41,0.04840994881656952,0.059970274567604065,0.08,1.6082468032836914,0.05040455745956044,46.15581731933179,3.8441826806682124
3,98.57,0.04047753723559436,0.05554481968283653,0.08,0.7370493412017822,0.028430607911954595,44.346021835857876,5.653978164142126
4,98.8,0.03457990879449062,0.06378792971372604,0.0,0.43164128065109253,0.06293099712979855,42.607189448310564,7.392810551689433
5,98.85,0.0345001585913531,0.12321755290031433,0.06,0.27258768677711487,0.050234601491229776,40.936537653899094,9.06346234610091
6,98.88,0.03272055490543135,0.08169174939393997,0.02,0.2096857726573944,0.1080738174177351,39.33139305332767,10.668606946672327
7,98.99,0.02973838206831424,0.03261210396885872,0.04,0.15377463400363922,0.027107989399727975,37.78918707278628,12.210812927213727
8,99.01,0.030920335458843328,0.16038364171981812,0.1,0.11432840675115585,0.12510275799315992,36.30745185368455,13.692548146315453
9,99.11,0.027978135620483954,0.12152937054634094,0.08,0.11321955919265747,0.031932049487193664,34.883816303551555,15.116183696448449
10,99.13,0.026894048856504378,0.10052091628313065,0.06,0.09102590382099152,0.08998492434531467,33.51600230178197,16.483997698218033
11,99.08,0.026693483939366706,0.12699393928050995,0.08,0.07045099884271622,0.09534377921312753,32.20182105415707,17.79817894584293
12,99.04,0.028690792840388894,0.1588089019060135,0.06,0.0645616203546524,0.1384562420033538,30.939169590307042,19.060830409692958
13,99.1,0.026579580585443182,0.14087674021720886,0.08,0.05632966011762619,0.11564605928761432,29.726027398509718,20.273972601490282
14,99.08,0.02740429948542005,0.18726827204227448,0.08,0.05455376207828522,0.10630769475957894,28.560453192440743,21.439546807559257
15,99.1,0.0271979556105136,0.1270899772644043,0.02,0.04403110593557358,0.08030627435101721,27.440581804701324,22.559418195298676
16,99.12,0.027562083883053128,0.16264905035495758,0.06,0.04137035459280014,0.1426892288506295,26.364621202152428,23.635378797847572
17,99.13,0.026495702332669315,0.19766981899738312,0.16,0.04101574793457985,0.1242963075851909,25.330849618279476,24.669150381720524
18,99.18,0.02563783191824841,0.1908535659313202,0.12,0.035523928701877594,0.11561316378077698,24.337612797998585,25.662387202001412
19,99.18,0.027041887614983717,0.14458012580871582,0.08,0.03452255204319954,0.10892653569224747,23.38332135049546,26.61667864950454
20,99.23,0.025708313397844178,0.18435807526111603,0.06,0.033212631940841675,0.0928434218698095,22.466448205861077,27.533551794138923
21,99.25,0.0257643751294956,0.20350036025047302,0.12,0.031555529683828354,0.15526089050452893,21.585526171453985,28.414473828546015
22,99.21,0.025444325222753833,0.19888290762901306,0.08,0.029568586498498917,0.17337080084248357,20.73914558407907,29.260854415920935
23,99.22,0.025436229918004028,0.22311590611934662,0.12,0.029621021822094917,0.18909231310944466,19.925952054225707,30.074047945774296
24,99.15,0.026191726924353134,0.2080310732126236,0.02,0.026164554059505463,0.1854107555607352,19.144644298755605,30.855355701244395
25,99.19,0.025763702340573583,0.15972961485385895,0.06,0.02467622049152851,0.10486890854152628,18.393972058572118,31.606027941427882
26,99.19,0.02609506594827926,0.14933204650878906,0.08,0.023207027465105057,0.15050311947020553,17.672734097939006,32.327265902060994
27,99.24,0.025492621266327113,0.2618505656719208,0.1,0.0220338087528944,0.20843940328895305,16.979776282246956,33.02022371775305
28,99.2,0.02565929272982539,0.2795340120792389,0.08,0.022199135273694992,0.2114254985250561,16.313989731151974,33.68601026884803
29,99.19,0.025517732499837985,0.2787601947784424,0.1,0.020624615252017975,0.20752687047437762,15.674309044130265,34.32569095586973
30,99.18,0.025371100898595615,0.26658034324645996,0.1,0.019896307960152626,0.19732224099831014,15.05971059561011,34.940289404389894
31,99.19,0.025434116552723207,0.1927403211593628,0.14,0.020788908004760742,0.1743759939000126,14.46921089695253,35.53078910304747
32,99.3,0.025578134608848994,0.2389003485441208,0.12,0.019281817600131035,0.15989437578970384,13.901865022659706,36.098134977340294
33,99.28,0.02546929714729722,0.26412105560302734,0.06,0.01913132146000862,0.21572975482015047,13.356765098292517,36.64323490170748
34,99.23,0.02603050725433022,0.2732248902320862,0.2,0.017165685072541237,0.1694544674887306,12.833038847677795,37.16696115232221
35,99.27,0.025148015188106002,0.2699265778064728,0.08,0.016972940415143967,0.2152773108657769,12.329848197080324,37.670151802919676
36,99.21,0.025093156089675175,0.2004154771566391,0.08,0.019556384533643723,0.17316416426736153,11.846387934106088,38.15361206589391
37,99.24,0.025905933463676412,0.20633134245872498,0.08,0.01723403111100197,0.18272024674867385,11.381884419190637,38.618115580809366
38,99.27,0.025797294352455355,0.265178918838501,0.16,0.017057448625564575,0.2090335643738424,10.935594347610737,39.06440565238926
39,99.28,0.025138857106064096,0.2703768312931061,0.08,0.016555627807974815,0.1965144458837785,10.506803560038236,39.493196439961764
40,99.21,0.02623706097725808,0.21157604455947876,0.12,0.017547884956002235,0.15782106238791,10.094825899732768,39.90517410026723
41,99.16,0.027514842125473116,0.1973041445016861,0.1,0.016997618600726128,0.1822966890834231,9.699002114544596,40.3009978854554
42,99.21,0.02692862941852363,0.3133777976036072,0.14,0.01453988067805767,0.2183516835975184,9.318698801970498,40.6813011980295
43,99.28,0.027251151617752295,0.28466376662254333,0.1,0.014919544570147991,0.24800293644070115,8.953307395574662,41.04669260442534
44,99.29,0.025073498101867153,0.2827567458152771,0.16,0.01445815060287714,0.18038994498158,8.602243191152526,41.397756808847475
45,99.25,0.025639019139664286,0.34491145610809326,0.18,0.015156777575612068,0.2659057619680129,8.264944411079327,41.73505558892067
46,99.22,0.027337616059904212,0.2586926221847534,0.08,0.016611192375421524,0.16762917774181935,7.940871305346033,42.059128694653964
47,99.29,0.02645635764906083,0.2950306236743927,0.1,0.013894172385334969,0.22139410709741106,7.629505287844195,42.3704947121558
48,99.25,0.02557343396767101,0.3234424889087677,0.16,0.014796511270105839,0.26956184479795287,7.330348106517509,42.669651893482495
49,99.27,0.0277752742608197,0.2699145972728729,0.06,0.015528488904237747,0.20603130775701453,7.04292104605225,42.95707895394775
