round,accuracy,loss,shap_cosine,shap_topk,shap_mse,shap_spearman,epsilon_w,epsilon_s
0,95.4,0.2281282763361931,0.018062133342027664,0.1,93.25285339355469,0.016949129750736227,49.504950495049506,0.49504950495049505
1,97.92,0.06288571643158794,0.053375937044620514,0.06,5.713806629180908,-0.01490460303017173,48.03947195761616,1.9605280423838412
2,98.43,0.046025816689478236,-0.029528316110372543,0.06,1.5774285793304443,-0.006106735834387932,46.15581731933179,3.8441826806682124
3,98.63,0.04114037627169164,0.040459174662828445,0.12,0.7018862962722778,0.035466859706764324,44.346021835857876,5.653978164142126
4,98.88,0.03556542269915808,-0.04321964457631111,0.06,0.45770224928855896,-0.050844226701589196,42.607189448310564,7.392810551689433
5,98.99,0.03357008311650716,0.07961884140968323,0.06,0.27907440066337585,0.08270269085743968,40.936537653899094,9.06346234610091
6,99.0,0.03224783748261398,0.03585309162735939,0.08,0.19394659996032715,-0.007452313966072556,39.33139305332767,10.668606946672327
7,99.05,0.03007109061437659,-0.00036168191581964493,0.08,0.15276551246643066,0.0018248166094170302,37.78918707278628,12.210812927213727
8,99.07,0.02936289384595584,0.05555463582277298,0.02,0.134132519364357,0.04448119975715596,36.30745185368455,13.692548146315453
9,99.03,0.029346250593996957,0.07320208102464676,0.04,0.1000833585858345,0.03727444415060116,34.883816303551555,15.116183696448449
10,99.08,0.02899475437978399,0.03747184947133064,0.04,0.09363649040460587,-0.013889025849742487,33.51600230178197,16.483997698218033
11,99.14,0.027603916981056683,0.08827291429042816,0.06,0.07747481763362885,0.030848016781937902,32.20182105415707,17.79817894584293
12,99.11,0.027082909801439382,0.06981032341718674,0.06,0.06535990536212921,0.04711122167587292,30.939169590307042,19.060830409692958
13,99.1,0.02711431832195667,0.09422579407691956,0.08,0.058553457260131836,0.06399563119778989,29.726027398509718,20.273972601490282
14,99.13,0.02823635638236883,0.05315813422203064,0.06,0.051273081451654434,0.024017754110942275,28.560453192440743,21.439546807559257
15,99.11,0.027470787287919667,0.0673336461186409,0.1,0.05212845280766487,0.049066474821863736,27.440581804701324,22.559418195298676
16,99.11,0.02684922120925912,0.11597443372011185,0.1,0.041540272533893585,0.06175410496580212,26.364621202152428,23.635378797847572
17,99.14,0.02668332782186044,0.12804685533046722,0.06,0.03858040273189545,0.09986493169637722,25.330849618279476,24.669150381720524
18,99.12,0.026097480832980365,0.08521668612957001,0.06,0.03799979388713837,0.0058790819937316755,24.337612797998585,25.662387202001412
19,99.12,0.02735270582761441,0.14461584389209747,0.02,0.03730233758687973,0.0654730154745843,23.38332135049546,26.61667864950454
20,99.12,0.02660032974499627,0.11869043111801147,0.06,0.03382768854498863,0.06364575847177587,22.466448205861077,27.533551794138923
21,99.13,0.026694164404769252,0.18275901675224304,0.04,0.02856244519352913,0.06870486828599219,21.585526171453985,28.414473828546015
22,99.12,0.026449137774235715,0.11506147682666779,0.06,0.027904536575078964,0.052366683550204615,20.73914558407907,29.260854415920935
23,99.12,0.026885653324409942,0.157344251871109,0.06,0.02813228778541088,0.11814158564809628,19.925952054225707,30.074047945774296
24,99.17,0.026420609762185267,0.14586643874645233,0.06,0.02778036706149578,0.12122250759883717,19.144644298755605,30.855355701244395
25,99.14,0.02631414526667031,0.18328747153282166,0.04,0.026115966960787773,0.15364241164655335,18.393972058572118,31.606027941427882
26,99.1,0.026824526907382098,0.14597703516483307,0.1,0.02422855980694294,0.09814525121857806,17.672734097939006,32.327265902060994
27,99.16,0.026114325889340033,0.15587058663368225,0.06,0.025415493175387383,0.13857084088485677,16.979776282246956,33.02022371775305
28,99.17,0.02687862277241311,0.15938609838485718,0.1,0.02342531830072403,0.16692041777542704,16.313989731151974,33.68601026884803
29,99.15,0.02694625317708851,0.1835957169532776,0.02,0.021809885278344154,0.13564550646380524,15.674309044130265,34.32569095586973
30,99.17,0.026578960270169774,0.18668879568576813,0.1,0.021149270236492157,0.17767605321651322,15.05971059561011,34.940289404389894
31,99.14,0.025430894374157652,0.18537873029708862,0.08,0.020362988114356995,0.107129933018672,14.46921089695253,35.53078910304747
32,99.13,0.02613391325409393,0.17716415226459503,0.04,0.01992662064731121,0.09954551408380909,13.901865022659706,36.098134977340294
33,99.13,0.02677946852006644,0.19225919246673584,0.02,0.019198156893253326,0.11399612923725753,13.356765098292517,36.64323490170748
34,99.1,0.026675037475176213,0.19314290583133698,0.1,0.019813692197203636,0.16491946950828068,12.833038847677795,37.16696115232221
35,99.16,0.026464826019723477,0.1767004430294037,0.04,0.017698783427476883,0.19445577484233317,12.329848197080324,37.670151802919676
36,99.16,0.02609332315402171,0.18987563252449036,0.02,0.017332999035716057,0.10982410242082044,11.846387934106088,38.15361206589391
37,99.15,0.026115859078920767,0.23227858543395996,0.1,0.017408115789294243,0.14164668283302778,11.381884419190637,38.618115580809366
38,99.15,0.026007284677552707,0.23614773154258728,0.08,0.015457697212696075,0.1843744350364789,10.935594347610737,39.06440565238926
39,99.12,0.027094868281019625,0.19954751431941986,0.12,0.01622053049504757,0.12310156070627973,10.506803560038236,39.493196439961764
40,99.12,0.026424796273253014,0.18410950899124146,0.06,0.016479574143886566,0.13845766141583657,10.094825899732768,39.90517410026723
41,99.1,0.026350547433506653,0.05941033363342285,0.02,0.01872440055012703,0.08707624934445556,9.699002114544596,40.3009978854554
42,99.15,0.027365815456727432,0.2533327639102936,0.08,0.014331837184727192,0.19862015675294203,9.318698801970498,40.6813011980295
43,99.15,0.026394883004251826,0.18258215487003326,0.1,0.016891639679670334,0.1128515349327373,8.953307395574662,41.04669260442534
44,99.15,0.027071365421784323,0.1826828569173813,0.06,0.01632557064294815,0.12538128656543518,8.602243191152526,41.397756808847475
45,99.09,0.027760044542124343,0.20930449664592743,0.14,0.015645554289221764,0.18968612556670664,8.264944411079327,41.73505558892067
46,99.19,0.025778447700787546,0.2222212851047516,0.08,0.014448029920458794,0.12583295855863394,7.940871305346033,42.059128694653964
47,99.09,0.027840929770009144,0.2119273841381073,0.12,0.014364182017743587,0.1675359696554513,7.629505287844195,42.3704947121558
48,99.11,0.026436860318140496,0.1460082232952118,0.0,0.015149815008044243,0.11701788409924332,7.330348106517509,42.669651893482495
49,99.17,0.0277199169359812,0.21211574971675873,0.08,0.014693225733935833,0.17435888624429932,7.04292104605225,42.95707895394775
