round,accuracy,loss,shap_cosine,shap_topk,shap_mse,shap_spearman,epsilon_w,epsilon_s
0,94.65,0.27358342881202696,-0.052597369998693466,0.12,101.13514709472656,-0.06201211431201077,49.504950495049506,0.49504950495049505
1,97.79,0.06595392457582057,0.07344607263803482,0.06,6.706964492797852,0.03373398118307284,48.03947195761616,1.9605280423838412
2,98.28,0.05263200700543821,0.03173112869262695,0.02,1.5420266389846802,0.0547311010208315,46.15581731933179,3.8441826806682124
3,98.59,0.04166015826209914,0.03693361580371857,0.0,0.761254072189331,0.05502165724625014,44.346021835857876,5.653978164142126
4,98.72,0.03701709255475435,0.058246418833732605,0.0,0.4123120605945587,0.04447328092962055,42.607189448310564,7.392810551689433
5,98.78,0.03507956428643665,-0.013421215116977692,0.02,0.27800169587135315,-0.030202607435828862,40.936537653899094,9.06346234610091
6,98.9,0.032112245211121625,-0.023857492953538895,0.06,0.20814023911952972,0.03640987253675905,39.33139305332767,10.668606946672327
7,98.92,0.03332173962420493,0.043414484709501266,0.14,0.15995316207408905,0.021207329978087077,37.78918707278628,12.210812927213727
8,99.06,0.030577236099200673,0.06885094940662384,0.06,0.11674779653549194,0.03535729102388448,36.30745185368455,13.692548146315453
9,99.02,0.029721158091328106,-0.040561627596616745,0.06,0.10711438208818436,0.02825880919759367,34.883816303551555,15.116183696448449
10,99.04,0.030720891816365475,0.05918316915631294,0.1,0.08598226308822632,0.01751769160698909,33.51600230178197,16.483997698218033
11,99.07,0.028338061700729306,0.07064757496118546,0.04,0.07624518871307373,0.05141453169597878,32.20182105415707,17.79817894584293
12,99.08,0.02760110681780643,-0.0507330596446991,0.02,0.07107819616794586,-0.043443086290816196,30.939169590307042,19.060830409692958
13,99.11,0.027687967858331105,-0.011207417584955692,0.02,0.061483461409807205,-0.008347315791387205,29.726027398509718,20.273972601490282
14,99.14,0.028037185913618305,0.00044945627450942993,0.12,0.050634801387786865,0.024170203991985547,28.560453192440743,21.439546807559257
15,99.12,0.027857761066357487,0.09662453085184097,0.04,0.04667225107550621,0.07110648930485144,27.440581804701324,22.559418195298676
16,99.1,0.027546128479694017,0.04873090982437134,0.08,0.04655151069164276,0.02209743843360611,26.364621202152428,23.635378797847572
17,99.13,0.027218572145455255,0.01343898382037878,0.06,0.042193662375211716,-0.007890688305485456,25.330849618279476,24.669150381720524
18,99.12,0.02633285812697359,0.015280772931873798,0.04,0.041189540177583694,0.06496000992094621,24.337612797998585,25.662387202001412
19,99.16,0.02703991836920468,0.061047088354825974,0.08,0.037841156125068665,0.09438726951355988,23.38332135049546,26.61667864950454
20,99.15,0.02637042211628868,0.11630605161190033,0.0,0.03281795606017113,0.03463575634514733,22.466448205861077,27.533551794138923
21,99.2,0.026418649322024795,0.06485399603843689,0.08,0.031001416966319084,0.04904749951814681,21.585526171453985,28.414473828546015
